Region;Site;Unit;Batch;Species;Start Fish Density;End Fish Density;Hatchery;Lot Quality;Origin Year;Origin Month;From;To;Start Av. Wt.;End Av.Wt.;Model End Av. Wt. Act. Feed;Av. Wt. Deviation (%);Av. Wt. Before Sampl.;Model End Av. Wt. Sugg. Feed;Actual Feed;Feed Category;Supplier;Period Feed Qty;Suggested Feed Qty;Feed Deviation (%);Opening Fish No;Opening Biomass;Closing Fish No;Closing Biomass;Harvest Biomass;Transfer - (Kg);Transfer + (Kg);Biomass Produced;Biomass Produced Before Sampl.;Econ. FCR Period;Econ FCR Period Before Sampl.;Mortality No;Model Mortality No;Mortality Deviation (%);SFR Period (%);SFR Period (%) Before Sampl.;SGR Period (%);Max Feed Qty;Food Price;Current Grading;Feeding Policy;Group Tag;Vaccinated;Feeder;Feeding Rate (Kg / Hour);Fastings No;Avg. Temp.;Avg. Oxygene;Transfer - (No);Transfer + (No);Harvest (No);Sampling (No);LTD Mortality No;LTD Mortality %;LTD Econ. FCR;Period Day Degrees;Start Av. Weight Category;End Av. Weight Category;Days;CLASS;LOTSTART;AGE;LTD Day Degrees;Period Mortality %
REGION-1;SITE-1;274_107-0-0;500_‘”_0514_30;‘”…–œ’—¡;7,61;7,83;HATCHERY-5;;2014;May;31/12/2014;27/1/2015;211,44;218;225,06;-3,14;224,26;211,44;LINE-1 5,0 mm;LINE-1;SUPPLIER-1;2060;0;0;79603;16831,25832;79413;17312,034;0;0;0;480,77568;977,90106;4,2847425227;2,1065525791;190;0;0;0,45;0,44;0,11;2060;0;;‘”…–œ’—¡ 2015;;Unchecked;;0;0;16,1;0;0;0;0;2;7587;8,7206896552;1,4432237489;419;200-250;200-250;27;BAD;1/5/2014;271;4363,1;0,2386844717
REGION-1;SITE-1;274_107-0-0;500_‘”_0514_30;‘”…–œ’—¡;7,83;8,23;HATCHERY-5;;2014;May;27/1/2015;26/2/2015;218;230;231,48;-0,64;231,03;218;LINE-1 5,0 mm;LINE-1;SUPPLIER-1;2201;0;0;79413;17312,034;79143;18202,89;0;0;0;890,856;972,37329;2,4706574351;2,2635339973;270;0;0;0,41;0,41;0,18;2201;0;;‘”…–œ’—¡ 2015;;Unchecked;;0;0;14,99;0;0;0;0;3;7857;9,0310344828;1,490656023;420;200-250;200-250;30;BAD;1/5/2014;301;4511,99;0,3399947112
REGION-1;SITE-1;274_108-0-0;500_‘”_0514_30;‘”…–œ’—¡;0,67;0,93;HATCHERY-5;;2014;May;27/6/2014;30/7/2014;5,4;15;17,05;-12,02;11,92;5,4;LINE-2 1,6 mm;LINE-2;SUPPLIER-1;1938;0;0;148570;802,278;137670;2065,05;0;0;0;1262,772;838,7484;1,5347188566;2,3105856297;10900;0;0;4,4;5,01;3,1;1376;0;;‘”…–œ’—¡ 2015;;Unchecked;;0;0;25,74;0;0;0;0;2;12330;8,22;1,4268384643;878;0-20;0-20;33;BAD;1/5/2014;90;2316,6;7,3366090059
REGION-1;SITE-1;274_108-0-0;500_‘”_0514_30;‘”…–œ’—¡;0,93;2,02;HATCHERY-5;;2014;May;30/7/2014;29/8/2014;15;30;26,61;12,74;20,04;15;LINE-2 2.0mm;LINE-2;SUPPLIER-1;2252;0;0;137670;2065,05;135685;4070,55;0;0;0;2005,5;654,0774;1,122911992;3,4430176001;3285;0;0;2,54;3,16;2,31;1227;0;;‘”…–œ’—¡ 2015;;Unchecked;;0;0;27,61;0;0;0;0;2;14315;9,5433333333;1,2329523729;856;0-20;20-50;30;GOOD;1/5/2014;120;3313,2;2,3861407714
REGION-1;SITE-1;274_108-0-0;500_‘”_0514_30;‘”…–œ’—¡;2,08;3,43;HATCHERY-5;;2014;May;31/8/2014;29/9/2014;30,76;51;47,91;6,45;31,14;30,76;LINE-2 2,5 mm;LINE-2;SUPPLIER-1;3362;0;0;135685;4173,6706;135125;6891,375;0;0;0;2717,7044;34,1219;1,2370734654;98,5290971488;560;0;0;2,14;2,77;1,74;2412;0;;‘”…–œ’—¡ 2015;;Unchecked;;0;0;27,39;0;0;0;0;2;14875;9,9166666667;1,2265060715;825;20-50;50-100;29;GOOD;1/5/2014;151;4135,89;0,4127206397
REGION-1;SITE-1;274_108-0-0;500_‘”_0514_30;‘”…–œ’—¡;3,49;5,24;HATCHERY-5;;2014;May;30/9/2014;30/10/2014;51,9;86;82,11;4,74;69,45;51,9;BL 3.5 BREAM;LINE-2;SUPPLIER-1;4938;0;0;135125;7012,9875;122410;10527,26;0;0;0;3514,2725;1488,387;1,4051272347;3,3176855213;12715;0;0;1,9;2,13;1,68;4413;0;;‘”…–œ’—¡ 2015;;Unchecked;;0;0;23,9;0;0;0;0;2;27590;18,3933333333;1,2744236157;718;50-100;50-100;30;GOOD;1/5/2014;182;4349,8;9,4098057354
REGION-1;SITE-1;274_108-0-0;500_‘”_0514_30;‘”…–œ’—¡;5,24;7,18;HATCHERY-5;;2014;May;30/10/2014;26/11/2014;86;120;113,54;5,69;100,65;86;BL 3.5 BREAM;LINE-2;SUPPLIER-1;4737;0;0;122410;10527,26;120345;14441,4;0;0;0;3914,14;1585,46425;1,210227534;2,9877684092;2065;0;0;1,42;1,55;1,23;4399;0;;‘”…–œ’—¡ 2015;;Unchecked;;0;0;20,58;0;0;0;0;2;29655;19,77;1,2428244637;575;50-100;100-150;27;GOOD;1/5/2014;209;4301,22;1,6869536803
REGION-1;SITE-1;274_108-0-0;500_‘”_0514_30;‘”…–œ’—¡;7,18;8,41;HATCHERY-5;;2014;May;26/11/2014;24/12/2014;120;141;139,34;1,19;133,37;120;BL 3.5 BREAM;LINE-2;SUPPLIER-1;3653;0;0;120345;14441,4;119955;16913,655;0;0;0;2472,255;1556,99835;1,4775983869;2,3461810348;400;0;0;0,83;0,86;0,58;2137;0;;‘”…–œ’—¡ 2015;;Unchecked;;0;0;18,89;0;0;0;0;2;30045;20,03;1,2699058335;507;100-150;100-150;28;GOOD;1/5/2014;237;4476,93;0,3323777473
REGION-1;SITE-1;274_108-0-0;500_‘”_0514_30;‘”…–œ’—¡;8,63;4,73;HATCHERY-5;;2014;May;31/12/2014;27/1/2015;144,66;159;156,91;1,33;156,21;144,66;LINE-1 5,0 mm;LINE-1;SUPPLIER-1;1669;0;0;119915;17346,9039;59767;9502,953;0;8887,6;0;1043,6491;876,89917;1,5991965115;1,9032975023;210;0;0;-3,56;-4,37;0,35;1669;0;;‘”…–œ’—¡ 2015;;Unchecked;;0;0;16,1;0;1;0;0;2;15232,37;20,3099972706;1,2938858306;419;100-150;150-200;27;GOOD;1/5/2014;271;4363,1;0,1751240462
REGION-1;SITE-1;274_108-0-0;500_‘”_0514_30;‘”…–œ’—¡;4,73;5,06;HATCHERY-5;;2014;May;27/1/2015;26/2/2015;159;171;169,33;0,99;169,02;159;LINE-1 5,0 mm;LINE-1;SUPPLIER-1;1171;0;0;59767;9502,953;59497;10173,987;0;0;0;671,034;553,22994;1,7450680591;2,1166605697;270;0;0;0,4;0,4;0,24;1171;0;;‘”…–œ’—¡ 2015;;Unchecked;;0;0;14,99;0;0;0;0;3;15502,37;20,6700002947;1,3206183322;420;150-200;150-200;30;GOOD;1/5/2014;301;4511,99;0,4517543126
